model,protocol,split,scope,site_id,n_eval,n_missing,mae,rmse,r2,nrmse,daylight_n,daylight_mae,daylight_nrmse
gru,seen,test,SITE,25,4460,4976,4.721470378011866,7.933546491437292,0.8930590500995547,0.0800407843057008,4443,4.738158517717752,0.0801934088345208
gru,seen,test,SITE,27,6606,5365,4.42614016166933,7.1481498141049284,0.9050459287452084,0.0721169930841301,6287,4.631778422345489,0.07391664809050169
gru,seen,test,SITE,3,5863,6035,0.8365918437145116,1.2820249553672964,0.9045224419881662,0.012934225952773009,5862,0.8367177942270144,0.01293532265058744
gru,seen,test,SITE,30,4101,4704,0.6373295413084479,0.9220578560699006,0.8659596736527726,0.009302552654695208,4101,0.6373295413084479,0.009302552654695208
gru,seen,test,SITE,31,4633,5005,1.0407224556758032,1.6176822668427389,0.8897511741774712,0.01632064014942947,4632,1.0408936376604598,0.016322360444885237
gru,seen,test,SITE,34,5071,5776,0.36953918389892276,0.5128464036479343,0.8166214900651143,0.00517405783411525,5071,0.36953918389892276,0.00517405783411525
gru,seen,test,SITE,37,4613,5025,0.7443966156434216,1.0771970576951198,0.8599512699914095,0.010867737076069054,4612,0.7445283608134684,0.010868896217709851
gru,seen,test,SITE,38,4672,4966,0.8602144294099449,1.2345063065295014,0.8622615445202382,0.012454814894146283,4671,0.8603687746268068,0.012456131063769015
gru,seen,test,SITE,39,4056,4749,0.552842856864252,0.7757015489488682,0.8382214051526186,0.007825978007695036,4056,0.552842856864252,0.007825978007695036
gru,seen,test,SITE,4,2974,4108,0.2686844314595718,0.36176553838004966,0.5209361126690963,0.003649817576283898,2972,0.26880792348895066,0.0036509551365451875
gru,seen,test,SITE,40,4658,4980,0.9584037025070027,1.5141504786176436,0.8924802227503158,0.015276117937446182,4657,0.9585865218162741,0.01527774978201667
gru,seen,test,SITE,41,5735,6163,0.9223570175969091,1.7002488846130215,0.9467406355160923,0.017153646781575035,5724,0.9237529605856148,0.017169773661863844
gru,seen,test,SITE,42,5760,6138,0.3177938168661462,0.5226963484609284,0.9301500889557244,0.005273432975995472,5760,0.3177938168661462,0.005273432975995472
gru,seen,test,SITE,5,1911,5171,0.30783628157331705,0.8395260291742989,-1.7750673162464743,0.008469897024324088,1910,0.3078460773248323,0.008471851069934231
gru,seen,test,SITE,6,3041,3265,1.5413760737500979,2.5232157287646997,0.918083617454429,0.025456479787543108,3023,1.5498125489247858,0.025531763104694096
gru,seen,test,SITE,8,2996,3310,1.5695408088502005,2.443588959970475,0.916747763115273,0.024653133007777307,2984,1.5750888930408948,0.024702218958750105
gru,unseen,val,ALL,,160306,226905,0.4455972756840884,0.7653199000778099,0.9034421549937114,0.007721238554926625,160301,0.4456056351527734,0.007721349043919122
gru,unseen,val,SITE,14,28098,35866,0.8724070781647689,1.3290333822516183,0.8815092097011591,0.013408489431389954,28093,0.872530741718041,0.01340964998267503
gru,unseen,val,SITE,16,19508,27616,0.31602874593165703,0.4652289799607935,0.756238027167483,0.004693650245573455,19508,0.31602874593165703,0.004693650245573455
gru,unseen,val,SITE,28,24466,35482,0.285596111403052,0.48946160575053954,0.6930662493666839,0.004938130866704402,24466,0.285596111403052,0.004938130866704402
gru,unseen,val,SITE,32,28104,36148,0.47486383793025366,0.722880397818264,0.8606663236292751,0.0072930705155682,28104,0.47486383793025366,0.0072930705155682
gru,unseen,val,SITE,35,29187,43417,0.4211772987011052,0.6353557973555629,0.8553970169483501,0.006410043274896099,29187,0.4211772987011052,0.006410043274896099
gru,unseen,val,SITE,9,30943,48376,0.2626786167448843,0.49921666825456823,0.23065860554387607,0.005036548750133497,30943,0.2626786167448843,0.005036548750133497
gru,unseen,test,ALL,,162186,247595,0.7707428508019375,1.3252651657900612,0.8903040831490237,0.013370472259455281,162129,0.7701243519409998,0.013356397279994924
gru,unseen,test,SITE,13,31596,45707,0.9130232405190801,1.4133646258795658,0.8580176578420928,0.014259299203380486,31591,0.9131460858911967,0.014260408210333742
gru,unseen,test,SITE,26,28233,36019,0.5300825624430896,0.802634730175061,0.8609305494783902,0.008097704271796314,28193,0.5258051440640863,0.007946256408359068
gru,unseen,test,SITE,29,24636,35767,0.2940790142611765,0.49991841629833295,0.6553603557807284,0.0050436286183700475,24636,0.2940790142611765,0.0050436286183700475
gru,unseen,test,SITE,33,29041,35211,1.1284265008062084,1.7817038471419864,0.8890382752153789,0.017975438031358038,29032,1.1287294809559627,0.017978195084698462
gru,unseen,test,SITE,36,28538,35714,0.668390365849099,1.020928090784936,0.8694148630550296,0.01030004490354273,28536,0.6684290996507055,0.010300400644319268
gru,unseen,test,SITE,7,20142,59177,1.0972052349028596,1.9355051365185283,0.8287938038102076,0.019527124385274677,20141,1.0972529147396055,0.01952760671518565
transformer,seen,val,ALL,,144743,145504,1.5738195280687681,3.4381876009771495,0.9416020146215638,0.034687542635486686,144451,1.5759439370920862,0.03472119634145322
transformer,seen,val,SITE,1,5793,6105,1.4298008794140862,2.2444964566674637,0.888024055868016,0.022644507970921768,5774,1.4327701623769298,0.022679184725124788
transformer,seen,val,SITE,10,5736,6162,0.6535821742010582,0.9324766463880455,0.851954393429086,0.00940766682393604,5734,0.6537067776654379,0.009409131711934545
transformer,seen,val,SITE,11,3392,2914,5.333321682546499,8.67806654320316,0.9247222955384237,0.0875521751999218,3341,5.407694950463421,0.08821527410383873
transformer,seen,val,SITE,12,5700,6198,1.132551714872059,1.7411685412404412,0.865359796222178,0.01756648124514232,5697,1.132984890694239,0.0175709246327318
transformer,seen,val,SITE,15,4973,4780,1.3975713471160096,2.0900802467251847,0.8619022744094074,0.021086617742808334,4971,1.3978824000607024,0.02109047708573633
transformer,seen,val,SITE,17,4812,4826,0.719572272483052,1.0707875616006022,0.8604169294653936,0.010803072289020384,4812,0.719572272483052,0.010803072289020384
transformer,seen,val,SITE,18,4842,4435,2.4886394481135024,3.834803284065559,0.8761740782285847,0.03868895995579868,4839,2.4900368820859717,0.03870087508144632
transformer,seen,val,SITE,19,4838,4598,3.010221291544419,4.642140761421515,0.8721838311589502,0.046834109789697195,4834,3.012579256461384,0.04685343973807739
transformer,seen,val,SITE,2,5756,6142,1.2331733724323721,1.916528687631785,0.8921513712280715,0.019335672825260337,5753,1.2336052312408345,0.019340472462749246
transformer,seen,val,SITE,20,4744,4894,1.1609790060813672,1.7361654268923472,0.8763603533275106,0.01751600530770063,4743,1.161078561541151,0.017517561119970874
transformer,seen,val,SITE,21,4791,4847,0.664805336900256,0.9437635381308205,0.8504717782402698,0.009521539184606052,4791,0.664805336900256,0.009521539184606052
transformer,seen,val,SITE,22,4889,4749,1.0876173421536324,1.6458304154083072,0.871258931218179,0.016604624101672412,4889,1.0876173421536324,0.016604624101672412
transformer,seen,val,SITE,23,4509,4296,0.9406214541356773,1.3733785440261213,0.867984164360127,0.013855883485540302,4508,0.9408266582950195,0.013857420013549672
transformer,seen,val,SITE,24,4910,4728,1.281460845786054,1.9352012661823714,0.8739039850815012,0.019524058666801927,4908,1.2817056900423138,0.019527542463338397
